target,method,n,n_correct,auc,auc_lo,auc_hi,auc_valid_bootstraps,pcc_continuous,pcc_continuous_lo,pcc_continuous_hi,pcc_continuous_valid_bootstraps,pcc_binary,pcc_binary_lo,pcc_binary_hi,pcc_binary_valid_bootstraps,hide_minus_baseline_auc,hide_minus_baseline_auc_lo,hide_minus_baseline_auc_hi,hide_minus_baseline_auc_valid_bootstraps,pcc_with_hide,pcc_with_hide_lo,pcc_with_hide_hi,pcc_with_hide_valid_bootstraps,model,dataset
sentence_similarity,negative_output_length,3278,4,0.9601405009163103,0.8617188521731549,0.9993896856881294,1960,0.025962911354501177,-0.013632940923319048,0.06417475911670568,2000,0.016594435092996893,0.007368715530543627,0.02588494570513378,1960,-0.05478772144166155,-0.12313472688434546,-0.002391239443778615,1960,0.17004157837559933,0.14470956999618045,0.20185544852667184,2000,gemma-2-9b,nq_open
rouge_l,HIDE_score,3278,3,0.7228498727735369,0.5124732987488557,0.9185137127901088,1896,0.06651879581644823,0.029141402232053918,0.10334796417908851,2000,0.02108822565937095,-0.0007910857513622196,0.04976289884791705,1896,0.0,0.0,0.0,1896,1.0000000000000002,0.9999999999999998,1.0000000000000002,2000,gemma-2-9b,nq_open
rouge_l,Omega,3278,3,0.45974554707379134,0.3951385087365795,0.5062015910298353,1896,0.10409269984510859,0.07306531542802629,0.1346643323247659,2000,0.0016532204071437922,-0.001808664584724849,0.004532224517592805,1896,0.2631043256997455,0.014098748473748424,0.5213127161218764,1896,0.22361829595984098,0.19401973206136874,0.25295993323573074,2000,gemma-2-9b,nq_open
rouge_l,Delta_in,3278,3,0.6792875318066158,0.5431797375648459,0.9111891027038266,1896,0.12035048785145855,0.08732072220566162,0.15371570473924964,2000,0.016508362746178923,0.0018392092148337218,0.0372846663176904,1896,0.04356234096692102,-0.18055555555555558,0.3399450717119316,1896,0.26068306051103685,0.2284668355162996,0.2922807111766717,2000,gemma-2-9b,nq_open
rouge_l,negative_Delta_in,3278,3,0.3207124681933842,0.08881089729617346,0.4568202624351541,1896,-0.12035048785145855,-0.15371570473924967,-0.08732072220566163,2000,-0.016508362746178923,-0.0372846663176904,-0.0018392092148337218,1896,0.4021374045801526,0.05891440341776014,0.6466559873305753,1896,-0.26068306051103685,-0.29228071117667176,-0.22846683551629962,2000,gemma-2-9b,nq_open
rouge_l,negative_mnll,3278,3,0.5132824427480916,0.1821788220933781,0.9676533414708575,1896,0.17733899052441865,0.14634311983375656,0.2070143649059987,2000,0.005378800842541048,-0.023533027590727874,0.040205910158772507,1896,0.2095674300254452,-0.05279218797680803,0.5538030210558437,1896,-0.25816069706213496,-0.2899362565148353,-0.22426648985219053,2000,gemma-2-9b,nq_open
rouge_l,negative_energy,3278,3,0.4036641221374046,0.14311870613365885,0.720444048373557,1896,-0.05191594807436442,-0.086625503184209,-0.017462833076693884,2000,-0.005740350015524096,-0.027413058276088233,0.015846899685143398,1896,0.31918575063613225,0.009518893568710482,0.7743314044904676,1896,0.24324398725711985,0.21092560178239267,0.2744059717823662,2000,gemma-2-9b,nq_open
rouge_l,constant_kernel_control,3278,3,0.7051908396946565,0.4678557992671569,0.9442197080725345,1896,0.0661232946130122,0.028114635636561556,0.10239627654100426,2000,0.021701988415924384,-0.0007114498630318206,0.05113340185717188,1896,0.017659033078880393,-0.0272543484894721,0.04838587005895828,1896,0.9989618299917172,0.9988194074025483,0.9991172656021741,2000,gemma-2-9b,nq_open
rouge_l,negative_output_length,3278,3,0.8158778625954198,0.6554118424636429,0.9297298485628496,1896,0.08965414386753552,0.07694774730716492,0.10198788464254256,2000,0.00871319535834401,0.003632337144365196,0.013667281830026131,1896,-0.09302798982188298,-0.14775109725235602,-0.009613550738245616,1896,0.17004157837559933,0.14470956999618045,0.20185544852667184,2000,gemma-2-9b,nq_open
exact_match,HIDE_score,3278,0,,,,0,,,,0,,,,0,,,,0,1.0000000000000002,0.9999999999999998,1.0000000000000002,2000,gemma-2-9b,nq_open
exact_match,Omega,3278,0,,,,0,,,,0,,,,0,,,,0,0.22361829595984098,0.19401973206136874,0.25295993323573074,2000,gemma-2-9b,nq_open
exact_match,Delta_in,3278,0,,,,0,,,,0,,,,0,,,,0,0.26068306051103685,0.2284668355162996,0.2922807111766717,2000,gemma-2-9b,nq_open
exact_match,negative_Delta_in,3278,0,,,,0,,,,0,,,,0,,,,0,-0.26068306051103685,-0.29228071117667176,-0.22846683551629962,2000,gemma-2-9b,nq_open
exact_match,negative_mnll,3278,0,,,,0,,,,0,,,,0,,,,0,-0.25816069706213496,-0.2899362565148353,-0.22426648985219053,2000,gemma-2-9b,nq_open
exact_match,negative_energy,3278,0,,,,0,,,,0,,,,0,,,,0,0.24324398725711985,0.21092560178239267,0.2744059717823662,2000,gemma-2-9b,nq_open
exact_match,constant_kernel_control,3278,0,,,,0,,,,0,,,,0,,,,0,0.9989618299917172,0.9988194074025483,0.9991172656021741,2000,gemma-2-9b,nq_open
exact_match,negative_output_length,3278,0,,,,0,,,,0,,,,0,,,,0,0.17004157837559933,0.14470956999618045,0.20185544852667184,2000,gemma-2-9b,nq_open
sentence_similarity,HIDE_score,711,400,0.5852210610932476,0.5417124209839645,0.6272119112906444,2000,0.11698572878241315,0.041913725991661654,0.1869506318450748,2000,0.1572138512045441,0.08336943892129813,0.22651137048472803,2000,0.0,0.0,0.0,2000,1.0000000000000002,0.9999999999999998,1.0000000000000002,2000,gemma-2-9b,race
sentence_similarity,Omega,711,400,0.5735771704180064,0.5297837219431067,0.6151448590678594,2000,0.15604530661365046,0.08787833995253747,0.22278642387079514,2000,0.19330319091627882,0.12207966170277271,0.2604770658007527,2000,0.011643890675241186,-0.03794413677526337,0.057587691034249065,2000,0.5125278477747609,0.44588345690105347,0.570169731250596,2000,gemma-2-9b,race
sentence_similarity,Delta_in,711,400,0.5273673633440514,0.4856008672200738,0.5719744577709519,2000,0.048961316590589984,-0.02393098367038139,0.11952206530957654,2000,0.049363027087422365,-0.02525836620839629,0.1242567534282557,2000,0.05785369774919613,-0.005314561835564116,0.11698056107673152,2000,-0.005714238077280524,-0.0778364111000968,0.06873670913599143,2000,gemma-2-9b,race
sentence_similarity,negative_Delta_in,711,400,0.47263263665594857,0.42802554222904815,0.5143991327799262,2000,-0.048961316590589984,-0.1195220653095766,0.023930983670381382,2000,-0.049363027087422365,-0.12425675342825572,0.02525836620839629,2000,0.112588424437299,0.05127056572291997,0.1717451018480885,2000,0.005714238077280524,-0.06873670913599146,0.07783641110009677,2000,gemma-2-9b,race
sentence_similarity,negative_mnll,711,400,0.6109244372990353,0.5715870985752374,0.6506604154957745,2000,0.20083616623122857,0.12882348893502504,0.27113325614612566,2000,0.1953022513344026,0.13260165372847696,0.2558909497056764,2000,-0.025703376205787776,-0.09422191229660973,0.04250877392569358,2000,-0.2004678943821506,-0.30508997533228105,-0.10975837279785727,2000,gemma-2-9b,race
sentence_similarity,negative_energy,711,400,0.5011334405144695,0.46100225613012,0.5435038182663323,2000,-0.026083858079125628,-0.09342368500443392,0.044946351445444094,2000,-0.01623302712424431,-0.08529463348799947,0.05647867064840152,2000,0.08408762057877806,0.019004344109657203,0.14433329481767704,2000,-0.016637913444101,-0.08994696674008969,0.05890104710149327,2000,gemma-2-9b,race
sentence_similarity,constant_kernel_control,711,400,0.5792202572347267,0.5373215616464285,0.6202819582773739,2000,0.11696117771329057,0.04206707180023161,0.18672784840711104,2000,0.1572718319393808,0.08280401654428492,0.2272824192694641,2000,0.0060008038585208645,-0.002335916060727669,0.01369557347605129,2000,0.9990098278249998,0.9987676708042388,0.999239216570015,2000,gemma-2-9b,race
sentence_similarity,negative_output_length,711,400,0.5787540192926045,0.5365590289998062,0.620397808550581,2000,0.12552473652593046,0.06968150614211002,0.17762037833899358,2000,0.22002370862134132,0.16560086828735085,0.26952662895235985,2000,0.0064670418006430586,-0.013220202810854953,0.025612741984920105,2000,0.702066213796923,0.6649901742622325,0.7484903425614774,2000,gemma-2-9b,race
rouge_l,HIDE_score,711,419,0.5758287834701017,0.5297386508708637,0.6170258546824181,2000,0.10729401499410335,0.03390009347602279,0.17451474167077255,2000,0.14027929839936665,0.06434467963143008,0.21019187965228842,2000,0.0,0.0,0.0,2000,1.0000000000000002,0.9999999999999998,1.0000000000000002,2000,gemma-2-9b,race
rouge_l,Omega,711,419,0.56700559061039,0.5227554950535843,0.6088210536173313,2000,0.137517681967199,0.0740933039119732,0.19830763223247727,2000,0.17708916784523623,0.10514552703616176,0.24399776109986437,2000,0.00882319285971167,-0.04025788019549767,0.05598882247497747,2000,0.5125278477747609,0.44588345690105347,0.570169731250596,2000,gemma-2-9b,race
rouge_l,Delta_in,711,419,0.5287009186909472,0.48554251498963363,0.5730613847242784,2000,0.050743714173585905,-0.02245264706967485,0.12534082151073386,2000,0.04906309267465562,-0.025844352668093377,0.12313868907897002,2000,0.04712786477915454,-0.014838090866210782,0.10616221114516582,2000,-0.005714238077280524,-0.0778364111000968,0.06873670913599143,2000,gemma-2-9b,race
rouge_l,negative_Delta_in,711,419,0.47129908130905285,0.4269386152757216,0.5144574850103664,2000,-0.050743714173585905,-0.1253408215107339,0.022452647069674796,2000,-0.04906309267465562,-0.12313868907897005,0.02584435266809336,2000,0.10452970216104884,0.04039182647675949,0.16339756212345052,2000,0.005714238077280524,-0.06873670913599146,0.07783641110009677,2000,gemma-2-9b,race
rouge_l,negative_mnll,711,419,0.5997891260993232,0.5592178149276865,0.6411416343162186,2000,0.20049251144395921,0.13645460446316907,0.2617357287800013,2000,0.1768519497200277,0.10866654023130282,0.2370793980181111,2000,-0.02396034262922153,-0.09372812156180177,0.04429073556883539,2000,-0.2004678943821506,-0.30508997533228105,-0.10975837279785727,2000,gemma-2-9b,race
rouge_l,negative_energy,711,419,0.49574982835845294,0.45499009314822003,0.5390968188212698,2000,-0.014740534549695955,-0.0798278903143662,0.0537912507460365,2000,-0.023313140259864,-0.09350323169032353,0.04859034462338427,2000,0.08007895511164875,0.015832814272933458,0.13836052530064935,2000,-0.016637913444101,-0.08994696674008969,0.05890104710149327,2000,gemma-2-9b,race
rouge_l,constant_kernel_control,711,419,0.5705038088076634,0.5253495569850095,0.611053239148836,2000,0.10756994711586894,0.03396789751179222,0.1732843418765828,2000,0.14067814866404293,0.06428912313632205,0.2105323784158863,2000,0.005324974662438309,-0.0030161319652220824,0.012838229260758102,2000,0.9990098278249998,0.9987676708042388,0.999239216570015,2000,gemma-2-9b,race
rouge_l,negative_output_length,711,419,0.564079510903325,0.5210659677649284,0.6053883495919632,2000,0.12706360356965565,0.0824386200224767,0.16915586533055235,2000,0.19759411547854672,0.13741514753743672,0.2545102984381948,2000,0.011749272566776714,-0.007722610685810557,0.03127593431068207,2000,0.702066213796923,0.6649901742622325,0.7484903425614774,2000,gemma-2-9b,race
exact_match,HIDE_score,711,383,0.5985918295867032,0.5559353631088363,0.6394074322410266,2000,0.1808391244804019,0.1064301064477731,0.24950012647437703,2000,0.1808391244804019,0.1064301064477731,0.24950012647437703,2000,0.0,0.0,0.0,2000,1.0000000000000002,0.9999999999999998,1.0000000000000002,2000,gemma-2-9b,race
exact_match,Omega,711,383,0.5966933070113991,0.5535794006579557,0.6393478528114429,2000,0.22626097540266066,0.1576120258960519,0.2920001269019924,2000,0.22626097540266066,0.1576120258960519,0.2920001269019924,2000,0.0018985225753040957,-0.047392311295445945,0.048840665136071444,2000,0.5125278477747609,0.44588345690105347,0.570169731250596,2000,gemma-2-9b,race
exact_match,Delta_in,711,383,0.5330151881806025,0.4915868887435694,0.5773433197722311,2000,0.060073292367448475,-0.01363609835672265,0.13467821995163165,2000,0.060073292367448475,-0.01363609835672265,0.13467821995163165,2000,0.06557664140610076,0.0025568848102446784,0.12302384082790091,2000,-0.005714238077280524,-0.0778364111000968,0.06873670913599143,2000,gemma-2-9b,race
exact_match,negative_Delta_in,711,383,0.46698481181939755,0.4226566802277689,0.5084131112564305,2000,-0.060073292367448475,-0.13467821995163184,0.013636098356722645,2000,-0.060073292367448475,-0.13467821995163184,0.013636098356722645,2000,0.13160701776730566,0.07299222953266879,0.1919474250216215,2000,0.005714238077280524,-0.06873670913599146,0.07783641110009677,2000,gemma-2-9b,race
exact_match,negative_mnll,711,383,0.617867604916258,0.5773701966872757,0.657803758296797,2000,0.20718341093872467,0.14782522083831756,0.26587191880212246,2000,0.20718341093872467,0.14782522083831756,0.26587191880212246,2000,-0.019275775329554823,-0.0882716244843662,0.04786485358669242,2000,-0.2004678943821506,-0.30508997533228105,-0.10975837279785727,2000,gemma-2-9b,race
